data,municipio,estado,bioma,avg_numero_dias_sem_chuva,avg_precipitacao,avg_risco_fogo,avg_frp
2024-04-01,NOVO ARIPUANÃ,AMAZONAS,Amazônia,0.0,5007.0,0.0,6.0
2024-04-01,BARREIRINHA,AMAZONAS,Amazônia,0.0,2849.0,0.0,57.0
2024-04-01,MANAUS,AMAZONAS,Amazônia,1.0,1506.0,0.0,16.0
2024-04-01,PARINTINS,AMAZONAS,Amazônia,0.0,1056.0,0.0,33.0
2024-04-01,ITACOATIARA,AMAZONAS,Amazônia,1.25,1322.25,0.0,53.0
2024-04-01,CAREIRO DA VÁRZEA,AMAZONAS,Amazônia,0.0,2367.0,0.0,25.0
2024-04-01,APUÍ,AMAZONAS,Amazônia,2.0,6058.0,0.0,90.0
2024-04-01,SILVES,AMAZONAS,Amazônia,0.0,791.0,0.0,23.0
2024-04-01,NHAMUNDÁ,AMAZONAS,Amazônia,0.0,584.0,0.0,75.0
2024-04-01,BOA VISTA,RORAIMA,Amazônia,1.33,0.0,100.0,537.0
2024-04-01,NORMANDIA,RORAIMA,Amazônia,0.1,9.71,93.93,52.24
2024-04-01,BONFIM,RORAIMA,Amazônia,0.29,0.0,86.51,148.06
2024-04-01,CANTÁ,RORAIMA,Amazônia,2.45,16.87,39.29,37.35
2024-04-01,UIRAMUTÃ,RORAIMA,Amazônia,0.0,0.0,97.8,81.9
2024-04-01,PACARAIMA,RORAIMA,Amazônia,0.0,1437.0,0.0,37.0
2024-04-01,CARACARAÍ,RORAIMA,Amazônia,2.03,29.62,68.02,164.83
2024-04-01,IRACEMA,RORAIMA,Amazônia,2.36,57.69,85.19,265.49
2024-04-01,ALTO ALEGRE,RORAIMA,Amazônia,0.63,0.0,98.88,92.5
2024-04-01,MUCAJAÍ,RORAIMA,Amazônia,2.34,0.22,86.16,232.16
2024-04-01,NOVO PROGRESSO,PARÁ,Amazônia,2.0,6712.0,0.0,5.0
2024-04-01,ORIXIMINÁ,PARÁ,Amazônia,0.0,2655.5,0.0,74.0
2024-04-01,MONTE ALEGRE,PARÁ,Amazônia,2.0,0.0,0.0,70.33
2024-04-01,RURÓPOLIS,PARÁ,Amazônia,1.0,3072.0,0.0,46.0
2024-04-01,JURUTI,PARÁ,Amazônia,0.75,234.0,0.0,142.5
2024-04-01,PRAINHA,PARÁ,Amazônia,1.75,66.17,0.08,22.25
2024-04-01,MOJUÍ DOS CAMPOS,PARÁ,Amazônia,0.0,1565.88,0.0,24.88
2024-04-01,ALENQUER,PARÁ,Amazônia,2.0,1597.0,0.0,182.0
2024-04-01,SANTARÉM,PARÁ,Amazônia,1.0,1259.0,0.0,75.0
2024-04-01,CAPANEMA,PARÁ,Amazônia,0.0,875.0,0.0,196.0
2024-04-01,SANTA RITA DO TOCANTINS,TOCANTINS,Cerrado,0.0,68.0,0.0,48.5
2024-04-01,GURUPI,TOCANTINS,Cerrado,0.33,4548.0,0.0,11.67
2024-04-01,AMARANTE DO MARANHÃO,MARANHÃO,Cerrado,1.0,1639.0,0.0,37.0
2024-04-01,SANTA QUITÉRIA DO MARANHÃO,MARANHÃO,Cerrado,0.0,603.5,0.0,165.5
2024-04-01,CHAPADINHA,MARANHÃO,Cerrado,0.0,520.0,0.0,126.0
2024-04-01,SÃO FRANCISCO DO MARANHÃO,MARANHÃO,Cerrado,0.0,204.0,0.0,89.0
2024-04-01,TIMON,MARANHÃO,Cerrado,0.0,435.0,0.0,145.0
2024-04-01,SANTA INÊS,MARANHÃO,Amazônia,0.0,4887.0,0.0,148.0
2024-04-01,CAXIAS,MARANHÃO,Cerrado,0.0,1492.33,0.0,125.33
2024-04-01,PERI MIRIM,MARANHÃO,Amazônia,0.0,230.0,0.0,68.0
2024-04-01,PARNAÍBA,PIAUÍ,Cerrado,0.0,102.0,0.0,84.0
2024-04-01,TIMBAÚBA,PERNAMBUCO,Caatinga,0.0,0.0,3.0,24.0
2024-04-01,GLÓRIA DO GOITÁ,PERNAMBUCO,Mata Atlântica,0.0,150.0,25.0,39.0
2024-04-01,CALÇADO,PERNAMBUCO,Mata Atlântica,2.0,676.0,6.0,47.0
2024-04-01,BOM CONSELHO,PERNAMBUCO,Caatinga,0.0,40.0,6.0,73.0
2024-04-01,RECIFE,PERNAMBUCO,Mata Atlântica,0.0,0.0,0.0,16.0
2024-04-01,PETROLINA,PERNAMBUCO,Caatinga,0.0,818.0,3.0,79.0
2024-04-01,IATI,PERNAMBUCO,Caatinga,0.0,2057.5,0.0,24.0
2024-04-01,SIRINHAÉM,PERNAMBUCO,Mata Atlântica,0.0,0.0,0.0,100.5
2024-04-01,VENTUROSA,PERNAMBUCO,Caatinga,1.0,2877.0,0.0,47.0
2024-04-01,SÃO JOSÉ DO BELMONTE,PERNAMBUCO,Caatinga,0.0,2397.0,0.0,94.0
2024-04-01,CRAÍBAS,ALAGOAS,Caatinga,0.0,57.0,0.0,26.0
2024-04-01,CAMPO ALEGRE,ALAGOAS,Mata Atlântica,0.0,0.0,0.0,0.0
2024-04-01,BELO MONTE,ALAGOAS,Caatinga,2.0,376.5,1.0,110.5
2024-04-01,SÃO BRÁS,ALAGOAS,Caatinga,0.0,10.0,22.5,71.5
2024-04-01,RIACHÃO DO DANTAS,SERGIPE,Caatinga,12.0,160.0,21.0,72.0
2024-04-01,SANTO AMARO DAS BROTAS,SERGIPE,Mata Atlântica,0.0,0.0,100.0,59.0
2024-04-01,PORTO DA FOLHA,SERGIPE,Caatinga,0.0,6233.0,0.0,288.5
2024-04-01,TOBIAS BARRETO,SERGIPE,Caatinga,2.0,26.0,37.0,49.0
2024-04-01,POÇO REDONDO,SERGIPE,Caatinga,2.0,5119.0,0.0,61.0
2024-04-01,ITABI,SERGIPE,Mata Atlântica,0.0,31.0,33.0,41.0
2024-04-01,PACATUBA,SERGIPE,Mata Atlântica,0.0,33.0,97.0,28.0
2024-04-01,GRACHO CARDOSO,SERGIPE,Mata Atlântica,1.0,0.0,100.0,204.75
2024-04-01,MALHADOR,SERGIPE,Mata Atlântica,0.0,0.0,65.5,52.5
2024-04-01,GARARU,SERGIPE,Mata Atlântica,0.67,937.67,10.33,38.67
2024-04-01,PIRITIBA,BAHIA,Caatinga,0.0,0.0,0.0,114.0
2024-04-01,SÃO DESIDÉRIO,BAHIA,Cerrado,7.5,352.0,8.5,273.5
2024-04-01,JUAZEIRO,BAHIA,Caatinga,0.0,268.0,18.0,35.0
2024-04-01,VALENTE,BAHIA,Caatinga,1.0,0.0,3.0,38.0
2024-04-01,MUQUÉM DO SÃO FRANCISCO,BAHIA,Cerrado,3.0,80.0,69.25,39.75
2024-04-01,RIBEIRA DO POMBAL,BAHIA,Caatinga,2.0,0.0,40.0,48.0
2024-04-01,CORONEL JOÃO SÁ,BAHIA,Caatinga,2.0,646.0,43.0,123.0
2024-04-01,MONTE SANTO,BAHIA,Caatinga,1.8,37.6,13.4,41.8
2024-04-01,BRUMADO,BAHIA,Caatinga,22.0,0.0,58.0,22.0
2024-04-01,SANTA INÊS,BAHIA,Mata Atlântica,3.0,100.5,8.0,101.75
2024-04-01,ARAÇÁS,BAHIA,Mata Atlântica,2.0,0.0,7.0,26.0
2024-04-01,ANTÔNIO GONÇALVES,BAHIA,Caatinga,0.0,0.0,0.0,77.0
2024-04-01,PINDOBAÇU,BAHIA,Caatinga,0.0,80.0,1.0,43.0
2024-04-01,CASA NOVA,BAHIA,Caatinga,1.0,1914.71,0.14,66.14
2024-04-01,SERRINHA,BAHIA,Caatinga,2.0,0.0,43.0,55.0
2024-04-01,ITAJU DO COLÔNIA,BAHIA,Mata Atlântica,3.0,69.0,63.0,141.0
2024-04-01,SÍTIO DO QUINTO,BAHIA,Caatinga,4.0,572.0,66.0,411.0
2024-04-01,QUIJINGUE,BAHIA,Caatinga,0.0,126.5,5.0,152.0
2024-04-01,ARACI,BAHIA,Caatinga,0.0,0.0,4.5,91.0
2024-04-01,OLINDINA,BAHIA,Caatinga,0.0,0.0,71.5,158.5
2024-04-01,LAGOA REAL,BAHIA,Caatinga,2.0,87.5,59.5,55.0
2024-04-01,TAPIRAMUTÁ,BAHIA,Caatinga,0.0,0.0,2.0,84.5
2024-04-01,MARCIONÍLIO SOUZA,BAHIA,Caatinga,4.0,0.0,12.5,66.75
2024-04-01,GOVERNADOR MANGABEIRA,BAHIA,Mata Atlântica,1.0,0.0,59.0,47.0
2024-04-01,RIACHÃO DAS NEVES,BAHIA,Cerrado,10.67,69.67,43.0,12.67
2024-04-01,FORMOSA DO RIO PRETO,BAHIA,Cerrado,0.0,463.0,5.0,864.0
2024-04-01,FILADÉLFIA,BAHIA,Caatinga,0.0,20.0,3.0,99.33
2024-04-01,LAJEDO DO TABOCAL,BAHIA,Mata Atlântica,4.0,0.0,81.0,38.0
2024-04-01,ITAPICURU,BAHIA,Caatinga,0.0,0.0,12.0,35.0
2024-04-01,CAMPO FORMOSO,BAHIA,Caatinga,0.0,438.0,3.0,66.0
2024-04-01,MARAGOGIPE,BAHIA,Mata Atlântica,0.0,0.0,83.0,28.0
2024-04-01,RIO REAL,BAHIA,Mata Atlântica,0.0,25.2,24.6,131.6
2024-04-01,CALDEIRÃO GRANDE,BAHIA,Caatinga,0.0,10.0,10.6,101.2
2024-04-01,NORDESTINA,BAHIA,Caatinga,0.0,0.0,5.0,50.5
2024-04-01,BARREIRAS,BAHIA,Cerrado,8.0,732.2,7.2,10.8
2024-04-01,SÃO FÉLIX DO CORIBE,BAHIA,Cerrado,8.0,105.83,25.83,15.17
2024-04-01,CRISÓPOLIS,BAHIA,Caatinga,0.0,10.0,57.0,30.0
2024-04-01,INHAMBUPE,BAHIA,Caatinga,0.0,138.0,32.5,29.5
2024-04-01,PEDRO ALEXANDRE,BAHIA,Caatinga,1.83,3221.83,0.0,147.83
2024-04-01,MUCUGÊ,BAHIA,Caatinga,13.5,0.0,50.0,37.5
2024-04-01,CANSANÇÃO,BAHIA,Caatinga,0.0,0.0,4.33,78.67
2024-04-01,SANTA LUZIA,BAHIA,Mata Atlântica,3.0,682.0,0.0,9.0
2024-04-01,COCOS,BAHIA,Cerrado,2.75,0.0,15.5,57.0
2024-04-01,OLIVEIRA DOS BREJINHOS,BAHIA,Caatinga,14.0,10.0,59.0,35.0
2024-04-01,IBICOARA,BAHIA,Caatinga,3.0,0.0,67.0,36.0
2024-04-01,WANDERLEY,BAHIA,Cerrado,2.0,297.5,16.0,96.0
2024-04-01,JEREMOABO,BAHIA,Caatinga,2.0,1406.0,0.0,111.0
2024-04-01,CARINHANHA,BAHIA,Cerrado,9.0,132.83,50.67,61.83
2024-04-01,SERRA PRETA,BAHIA,Caatinga,2.0,0.0,15.0,58.0
2024-04-01,BAIANÓPOLIS,BAHIA,Cerrado,3.89,722.33,4.0,18.33
